Aruba,ABW,"Population, total",SP.POP.TOTL,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,516003448,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,354343844,364358270,374790143,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589
Angola,AGO,"Population, total",SP.POP.TOTL,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906
Albania,ALB,"Population, total",SP.POP.TOTL,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972
Andorra,AND,"Population, total",SP.POP.TOTL,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856
Arab World,ARB,"Population, total",SP.POP.TOTL,356386673,363568534,372054934,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,481667539
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751
Argentina,ARG,"Population, total",SP.POP.TOTL,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401
Armenia,ARM,"Population, total",SP.POP.TOTL,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900
American Samoa,ASM,"Population, total",SP.POP.TOTL,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316
Australia,AUS,"Population, total",SP.POP.TOTL,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948
Austria,AUT,"Population, total",SP.POP.TOTL,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958
Burundi,BDI,"Population, total",SP.POP.TOTL,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450
Belgium,BEL,"Population, total",SP.POP.TOTL,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423
Benin,BEN,"Population, total",SP.POP.TOTL,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776
Bangladesh,BGD,"Population, total",SP.POP.TOTL,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6643324,6446596
Bahrain,BHR,"Population, total",SP.POP.TOTL,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073
Belarus,BLR,"Population, total",SP.POP.TOTL,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298
Belize,BLZ,"Population, total",SP.POP.TOTL,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106
Bermuda,BMU,"Population, total",SP.POP.TOTL,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698
Bolivia,BOL,"Population, total",SP.POP.TOTL,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159
Brazil,BRA,"Population, total",SP.POP.TOTL,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729
Barbados,BRB,"Population, total",SP.POP.TOTL,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949
Bhutan,BTN,"Population, total",SP.POP.TOTL,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385
Botswana,BWA,"Population, total",SP.POP.TOTL,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421
Canada,CAN,"Population, total",SP.POP.TOTL,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38939056,40097761
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,104800475,104421447,104174038,103928128,103691959,103459388,103206007,102926796,102656954,102439383,102282674,102046650,100647592,100289401,100175859
Switzerland,CHE,"Population, total",SP.POP.TOTL,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093
Channel Islands,CHI,"Population, total",SP.POP.TOTL,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691
Chile,CHL,"Population, total",SP.POP.TOTL,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835
China,CHN,"Population, total",SP.POP.TOTL,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654
Cameroon,CMR,"Population, total",SP.POP.TOTL,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885
Colombia,COL,"Population, total",SP.POP.TOTL,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152
Comoros,COM,"Population, total",SP.POP.TOTL,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4499791,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,2836793,2855621,2873088,2893251,2917125,2941203,2964524,2987438,3009507,3048465,3079149,3092577,3111609,3131505,3152394
Cuba,CUB,"Population, total",SP.POP.TOTL,11294719,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931
Curacao,CUW,"Population, total",SP.POP.TOTL,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,147862
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038
